,age,job,marital,education,housing,loan,contact,month,day_of_week,campaign,prev_nr_contacts,prev_outcome,cons_price_idx,cons_conf_idx,nr_employed,subscribed
0,52,technician,married,high.school,yes,no,cellular,nov,tue,1,0,nonexistent,93.2,-42.0,5195.8,no
1,33,admin.,single,university.degree,yes,no,cellular,nov,thu,1,0,nonexistent,93.2,-42.0,5195.8,no
2,54,admin.,single,university.degree,yes,no,cellular,may,mon,1,0,nonexistent,92.893,-46.2,5099.1,no
3,53,housemaid,married,high.school,no,yes,cellular,jun,thu,1,2,failure,92.963,-40.8,5076.2,yes
4,42,self-employed,married,university.degree,yes,no,cellular,aug,tue,2,0,nonexistent,93.444,-36.1,5228.1,no
5,36,management,married,university.degree,no,yes,cellular,jul,wed,4,0,nonexistent,93.918,-42.7,5228.1,no
6,40,technician,divorced,university.degree,yes,no,cellular,apr,thu,1,0,nonexistent,93.075,-47.1,5099.1,yes
7,44,blue-collar,single,basic.4y,yes,no,cellular,mar,tue,2,0,nonexistent,92.843,-50.0,5099.1,yes
8,36,technician,divorced,professional.course,no,no,telephone,may,wed,1,0,nonexistent,93.994,-36.4,5191.0,no
9,48,management,married,university.degree,no,no,cellular,jul,thu,4,0,nonexistent,93.918,-42.7,5228.1,no
10,48,admin.,single,university.degree,yes,no,cellular,apr,fri,1,0,nonexistent,93.075,-47.1,5099.1,no
11,27,admin.,married,high.school,yes,no,cellular,jul,mon,2,0,nonexistent,93.918,-42.7,5228.1,no
12,29,admin.,single,high.school,no,no,cellular,jul,fri,2,0,nonexistent,93.918,-42.7,5228.1,no
13,31,technician,single,high.school,no,no,cellular,aug,wed,2,0,nonexistent,93.444,-36.1,5228.1,no
14,60,admin.,divorced,high.school,yes,no,cellular,jul,fri,1,0,nonexistent,93.918,-42.7,5228.1,no
15,34,technician,married,professional.course,no,no,cellular,may,fri,2,1,failure,92.893,-46.2,5099.1,no
16,28,admin.,married,high.school,no,no,cellular,may,wed,1,0,nonexistent,92.893,-46.2,5099.1,no
17,29,management,married,university.degree,no,no,cellular,nov,fri,4,0,nonexistent,93.2,-42.0,5195.8,no
18,46,services,married,basic.6y,yes,no,cellular,aug,fri,5,0,nonexistent,93.444,-36.1,5228.1,no
19,31,services,single,high.school,no,no,cellular,may,wed,2,0,nonexistent,92.893,-46.2,5099.1,yes
20,25,blue-collar,single,high.school,yes,no,cellular,jul,tue,1,0,nonexistent,93.918,-42.7,5228.1,no
21,42,admin.,married,high.school,no,no,cellular,apr,fri,2,0,nonexistent,93.075,-47.1,5099.1,no
22,32,blue-collar,married,professional.course,yes,no,cellular,may,thu,1,0,nonexistent,92.893,-46.2,5099.1,no
23,39,blue-collar,divorced,basic.6y,yes,no,telephone,may,tue,2,0,nonexistent,93.994,-36.4,5191.0,no
24,35,admin.,divorced,university.degree,yes,no,cellular,nov,fri,3,1,failure,93.2,-42.0,5195.8,no
26,39,services,married,university.degree,no,no,cellular,apr,thu,1,0,nonexistent,93.075,-47.1,5099.1,yes
27,43,admin.,single,university.degree,yes,no,telephone,may,tue,1,0,nonexistent,92.893,-46.2,5099.1,no
28,52,technician,divorced,university.degree,yes,yes,cellular,aug,wed,4,0,nonexistent,93.444,-36.1,5228.1,no
29,53,admin.,married,university.degree,yes,no,cellular,aug,mon,3,0,nonexistent,93.444,-36.1,5228.1,no
30,43,admin.,married,high.school,no,no,telephone,jun,fri,10,0,nonexistent,94.465,-41.8,5228.1,yes
31,26,student,single,basic.9y,yes,no,cellular,aug,wed,1,0,nonexistent,92.201,-31.4,5076.2,yes
32,24,admin.,single,university.degree,yes,no,cellular,nov,wed,1,3,failure,92.649,-30.1,5017.5,no
33,36,management,single,high.school,no,no,cellular,apr,mon,2,0,nonexistent,93.075,-47.1,5099.1,no
34,31,blue-collar,married,basic.6y,no,no,cellular,may,thu,1,1,success,92.893,-46.2,5099.1,yes
35,32,services,married,basic.4y,no,no,cellular,jul,mon,4,0,nonexistent,93.918,-42.7,5228.1,yes
36,30,unemployed,single,university.degree,yes,yes,cellular,jul,wed,3,0,nonexistent,93.918,-42.7,5228.1,no
37,34,self-employed,single,university.degree,yes,no,cellular,jul,wed,1,0,nonexistent,93.918,-42.7,5228.1,no
38,51,blue-collar,married,basic.4y,yes,yes,telephone,dec,mon,1,0,nonexistent,92.756,-45.9,5176.3,no
39,32,entrepreneur,married,basic.6y,yes,no,telephone,may,wed,1,0,nonexistent,93.994,-36.4,5191.0,no
40,34,management,married,high.school,yes,no,telephone,aug,mon,7,0,nonexistent,93.444,-36.1,5228.1,no
42,49,self-employed,married,university.degree,yes,yes,cellular,nov,fri,1,0,nonexistent,93.2,-42.0,5195.8,no
43,36,self-employed,single,university.degree,no,no,cellular,oct,fri,1,0,nonexistent,92.431,-26.9,5017.5,yes
44,50,admin.,married,university.degree,no,no,cellular,nov,mon,1,2,success,92.649,-30.1,5017.5,no
45,46,unemployed,married,basic.9y,no,no,cellular,aug,wed,2,0,nonexistent,93.444,-36.1,5228.1,no
46,59,retired,married,basic.4y,yes,yes,telephone,may,wed,1,0,nonexistent,93.994,-36.4,5191.0,no
47,45,services,married,high.school,yes,yes,telephone,aug,thu,2,0,nonexistent,93.444,-36.1,5228.1,no
48,36,services,single,high.school,no,yes,cellular,jul,tue,5,0,nonexistent,93.918,-42.7,5228.1,no
49,38,management,married,university.degree,yes,no,telephone,may,mon,6,0,nonexistent,93.994,-36.4,5191.0,no
50,47,admin.,married,high.school,no,no,telephone,may,tue,3,0,nonexistent,93.994,-36.4,5191.0,yes
51,53,technician,married,professional.course,yes,yes,cellular,aug,wed,2,0,nonexistent,93.444,-36.1,5228.1,no
52,31,blue-collar,married,basic.9y,yes,no,telephone,jun,thu,2,0,nonexistent,94.465,-41.8,5228.1,no
53,41,services,married,high.school,yes,no,telephone,jun,tue,3,0,nonexistent,94.465,-41.8,5228.1,no
54,31,blue-collar,single,high.school,yes,no,cellular,may,wed,1,0,nonexistent,92.893,-46.2,5099.1,no
55,45,blue-collar,married,basic.6y,yes,no,telephone,jun,thu,1,0,nonexistent,94.465,-41.8,5228.1,no
56,74,retired,married,university.degree,yes,no,cellular,oct,fri,2,2,success,94.601,-49.5,4963.6,no
57,35,blue-collar,married,basic.9y,yes,no,cellular,jul,mon,2,0,nonexistent,93.918,-42.7,5228.1,no
58,45,unemployed,married,basic.9y,yes,no,cellular,jun,mon,1,1,failure,92.963,-40.8,5076.2,no
59,35,blue-collar,married,basic.9y,no,no,telephone,may,tue,3,0,nonexistent,93.994,-36.4,5191.0,no
60,32,admin.,single,university.degree,no,no,telephone,nov,wed,3,0,nonexistent,93.2,-42.0,5195.8,no
61,29,admin.,married,high.school,no,no,telephone,may,tue,2,0,nonexistent,93.994,-36.4,5191.0,no
62,40,services,married,high.school,no,no,telephone,may,mon,1,0,nonexistent,93.994,-36.4,5191.0,no
63,46,technician,divorced,professional.course,yes,no,telephone,jun,fri,3,0,nonexistent,94.465,-41.8,5228.1,no
64,54,admin.,divorced,university.degree,no,no,telephone,may,wed,4,0,nonexistent,93.994,-36.4,5191.0,yes
65,41,admin.,married,university.degree,yes,yes,telephone,nov,wed,1,0,nonexistent,93.2,-42.0,5195.8,no
66,23,technician,married,professional.course,yes,no,cellular,aug,mon,1,2,success,92.201,-31.4,5076.2,yes
67,25,services,single,high.school,yes,no,cellular,oct,thu,2,0,nonexistent,92.431,-26.9,5017.5,yes
68,36,blue-collar,married,basic.9y,no,no,telephone,may,wed,1,0,nonexistent,93.994,-36.4,5191.0,no
69,31,services,divorced,high.school,no,no,cellular,apr,mon,1,0,nonexistent,93.075,-47.1,5099.1,no
70,49,blue-collar,married,basic.9y,no,no,cellular,may,fri,2,0,nonexistent,92.893,-46.2,5099.1,no
71,60,admin.,married,high.school,no,yes,cellular,jul,mon,1,0,nonexistent,93.918,-42.7,5228.1,no
73,29,admin.,married,university.degree,no,no,cellular,aug,fri,3,0,nonexistent,93.444,-36.1,5228.1,yes
74,27,services,married,high.school,no,no,telephone,jul,fri,1,0,nonexistent,93.918,-42.7,5228.1,yes
75,81,retired,married,basic.9y,no,no,cellular,may,mon,2,1,failure,92.893,-46.2,5099.1,no
76,32,technician,single,professional.course,yes,no,cellular,may,fri,3,0,nonexistent,92.893,-46.2,5099.1,no
77,27,services,single,high.school,no,no,cellular,jul,fri,8,0,nonexistent,93.918,-42.7,5228.1,no
78,29,admin.,single,university.degree,yes,no,cellular,aug,thu,1,0,nonexistent,93.444,-36.1,5228.1,no
79,30,services,married,high.school,yes,no,telephone,may,fri,3,0,nonexistent,93.994,-36.4,5191.0,no
80,38,services,married,high.school,no,no,cellular,jul,fri,3,0,nonexistent,93.918,-42.7,5228.1,no
81,45,admin.,married,high.school,no,no,cellular,nov,mon,1,0,nonexistent,93.2,-42.0,5195.8,no
82,37,blue-collar,divorced,professional.course,yes,no,cellular,nov,thu,1,0,nonexistent,93.2,-42.0,5195.8,no
83,52,retired,married,basic.9y,no,no,telephone,may,thu,7,0,nonexistent,93.994,-36.4,5191.0,no
84,73,retired,married,university.degree,yes,no,cellular,mar,fri,1,0,nonexistent,92.843,-50.0,5099.1,yes
85,32,admin.,married,high.school,yes,yes,cellular,jul,thu,22,0,nonexistent,93.918,-42.7,5228.1,no
86,41,admin.,divorced,basic.6y,no,no,telephone,jul,mon,1,0,nonexistent,93.918,-42.7,5228.1,no
87,30,technician,married,professional.course,yes,no,cellular,oct,mon,1,1,success,94.601,-49.5,4963.6,yes
88,33,blue-collar,married,university.degree,no,no,telephone,jul,thu,1,0,nonexistent,94.215,-40.3,4991.6,no
89,53,entrepreneur,divorced,university.degree,no,no,cellular,nov,mon,1,0,nonexistent,93.2,-42.0,5195.8,no
90,38,blue-collar,married,high.school,yes,no,telephone,may,wed,1,0,nonexistent,93.994,-36.4,5191.0,no
91,34,admin.,married,university.degree,yes,no,cellular,aug,wed,1,0,nonexistent,93.444,-36.1,5228.1,no
92,56,services,married,high.school,no,yes,cellular,jul,fri,4,0,nonexistent,93.918,-42.7,5228.1,no
93,40,unemployed,divorced,high.school,no,no,telephone,may,tue,3,0,nonexistent,93.994,-36.4,5191.0,no
94,46,self-employed,married,university.degree,yes,no,cellular,nov,mon,3,0,nonexistent,93.2,-42.0,5195.8,no
95,41,entrepreneur,divorced,professional.course,yes,no,cellular,jul,thu,1,0,nonexistent,93.918,-42.7,5228.1,no
96,49,services,married,basic.6y,no,yes,cellular,apr,fri,1,0,nonexistent,93.075,-47.1,5099.1,no
97,45,management,married,basic.9y,no,yes,telephone,may,mon,1,0,nonexistent,93.994,-36.4,5191.0,no
98,31,technician,married,university.degree,no,no,cellular,aug,thu,1,0,nonexistent,92.201,-31.4,5076.2,no
